name,shape,dtype,numel,requires_grad,trainable_status,layer,component_family
embed_tokens.weight,"[65536, 2560]",float32,167772160,True,TRAINABLE,embedding,embedding
layers.0.mixer.conv1d.weight,"[2560, 1, 4]",float32,10240,True,TRAINABLE,0,state_mixer
layers.0.mixer.conv1d.bias,[2560],float32,2560,True,TRAINABLE,0,state_mixer
layers.0.mixer.in_proj.weight,"[5120, 2560]",float32,13107200,True,TRAINABLE,0,state_mixer
layers.0.mixer.out_proj.weight,"[2560, 2560]",float32,6553600,True,TRAINABLE,0,gqa_mixer
layers.0.mixer.norm.weight,[2560],float32,2560,True,TRAINABLE,0,state_mixer
layers.0.ffn.gate_proj.weight,"[6912, 2560]",float32,17694720,True,TRAINABLE,0,ffn
layers.0.ffn.up_proj.weight,"[6912, 2560]",float32,17694720,True,TRAINABLE,0,ffn
layers.0.ffn.down_proj.weight,"[2560, 6912]",float32,17694720,True,TRAINABLE,0,ffn
layers.0.ffn.norm.weight,[2560],float32,2560,True,TRAINABLE,0,ffn
layers.1.mixer.conv1d.weight,"[2560, 1, 4]",float32,10240,True,TRAINABLE,1,state_mixer
layers.1.mixer.conv1d.bias,[2560],float32,2560,True,TRAINABLE,1,state_mixer
layers.1.mixer.in_proj.weight,"[5120, 2560]",float32,13107200,True,TRAINABLE,1,state_mixer
layers.1.mixer.out_proj.weight,"[2560, 2560]",float32,6553600,True,TRAINABLE,1,gqa_mixer
layers.1.mixer.norm.weight,[2560],float32,2560,True,TRAINABLE,1,state_mixer
layers.1.ffn.gate_proj.weight,"[6912, 2560]",float32,17694720,True,TRAINABLE,1,ffn
layers.1.ffn.up_proj.weight,"[6912, 2560]",float32,17694720,True,TRAINABLE,1,ffn
layers.1.ffn.down_proj.weight,"[2560, 6912]",float32,17694720,True,TRAINABLE,1,ffn
layers.1.ffn.norm.weight,[2560],float32,2560,True,TRAINABLE,1,ffn
layers.2.mixer.q_proj.weight,"[2560, 2560]",float32,6553600,True,TRAINABLE,2,gqa_mixer
layers.2.mixer.k_proj.weight,"[512, 2560]",float32,1310720,True,TRAINABLE,2,gqa_mixer
layers.2.mixer.v_proj.weight,"[512, 2560]",float32,1310720,True,TRAINABLE,2,gqa_mixer
layers.2.mixer.out_proj.weight,"[2560, 2560]",float32,6553600,True,TRAINABLE,2,gqa_mixer
layers.2.mixer.norm.weight,[2560],float32,2560,True,TRAINABLE,2,gqa_mixer
layers.2.ffn.gate_proj.weight,"[6912, 2560]",float32,17694720,True,TRAINABLE,2,ffn
layers.2.ffn.up_proj.weight,"[6912, 2560]",float32,17694720,True,TRAINABLE,2,ffn
layers.2.ffn.down_proj.weight,"[2560, 6912]",float32,17694720,True,TRAINABLE,2,ffn
layers.2.ffn.norm.weight,[2560],float32,2560,True,TRAINABLE,2,ffn
layers.3.mixer.conv1d.weight,"[2560, 1, 4]",float32,10240,True,TRAINABLE,3,state_mixer
layers.3.mixer.conv1d.bias,[2560],float32,2560,True,TRAINABLE,3,state_mixer
layers.3.mixer.in_proj.weight,"[5120, 2560]",float32,13107200,True,TRAINABLE,3,state_mixer
layers.3.mixer.out_proj.weight,"[2560, 2560]",float32,6553600,True,TRAINABLE,3,gqa_mixer
layers.3.mixer.norm.weight,[2560],float32,2560,True,TRAINABLE,3,state_mixer
layers.3.ffn.gate_proj.weight,"[6912, 2560]",float32,17694720,True,TRAINABLE,3,ffn
layers.3.ffn.up_proj.weight,"[6912, 2560]",float32,17694720,True,TRAINABLE,3,ffn
layers.3.ffn.down_proj.weight,"[2560, 6912]",float32,17694720,True,TRAINABLE,3,ffn
layers.3.ffn.norm.weight,[2560],float32,2560,True,TRAINABLE,3,ffn
layers.4.mixer.conv1d.weight,"[2560, 1, 4]",float32,10240,True,TRAINABLE,4,state_mixer
layers.4.mixer.conv1d.bias,[2560],float32,2560,True,TRAINABLE,4,state_mixer
