tensor_name,family,shape,numel,dtype,trainable
embed_tokens.weight,embedding,"[65536, 2560]",167772160,float32,True
layers.0.mixer.conv1d.weight,state_mixer,"[2560, 1, 4]",10240,float32,True
layers.0.mixer.conv1d.bias,state_mixer,[2560],2560,float32,True
layers.0.mixer.in_proj.weight,state_mixer,"[5120, 2560]",13107200,float32,True
layers.0.mixer.out_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.0.mixer.norm.weight,state_mixer,[2560],2560,float32,True
layers.0.ffn.gate_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.0.ffn.up_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.0.ffn.down_proj.weight,ffn,"[2560, 6912]",17694720,float32,True
layers.0.ffn.norm.weight,ffn,[2560],2560,float32,True
layers.1.mixer.conv1d.weight,state_mixer,"[2560, 1, 4]",10240,float32,True
layers.1.mixer.conv1d.bias,state_mixer,[2560],2560,float32,True
layers.1.mixer.in_proj.weight,state_mixer,"[5120, 2560]",13107200,float32,True
layers.1.mixer.out_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.1.mixer.norm.weight,state_mixer,[2560],2560,float32,True
layers.1.ffn.gate_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.1.ffn.up_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.1.ffn.down_proj.weight,ffn,"[2560, 6912]",17694720,float32,True
layers.1.ffn.norm.weight,ffn,[2560],2560,float32,True
layers.2.mixer.q_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.2.mixer.k_proj.weight,gqa_mixer,"[512, 2560]",1310720,float32,True
layers.2.mixer.v_proj.weight,gqa_mixer,"[512, 2560]",1310720,float32,True
layers.2.mixer.out_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.2.mixer.norm.weight,gqa_mixer,[2560],2560,float32,True
layers.2.ffn.gate_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.2.ffn.up_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.2.ffn.down_proj.weight,ffn,"[2560, 6912]",17694720,float32,True
layers.2.ffn.norm.weight,ffn,[2560],2560,float32,True
layers.3.mixer.conv1d.weight,state_mixer,"[2560, 1, 4]",10240,float32,True
layers.3.mixer.conv1d.bias,state_mixer,[2560],2560,float32,True
layers.3.mixer.in_proj.weight,state_mixer,"[5120, 2560]",13107200,float32,True
layers.3.mixer.out_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.3.mixer.norm.weight,state_mixer,[2560],2560,float32,True
layers.3.ffn.gate_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.3.ffn.up_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.3.ffn.down_proj.weight,ffn,"[2560, 6912]",17694720,float32,True
layers.3.ffn.norm.weight,ffn,[2560],2560,float32,True
layers.4.mixer.conv1d.weight,state_mixer,"[2560, 1, 4]",10240,float32,True
layers.4.mixer.conv1d.bias,state_mixer,[2560],2560,float32,True
layers.4.mixer.in_proj.weight,state_mixer,"[5120, 2560]",13107200,float32,True
layers.4.mixer.out_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.4.mixer.norm.weight,state_mixer,[2560],2560,float32,True
layers.4.ffn.gate_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.4.ffn.up_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.4.ffn.down_proj.weight,ffn,"[2560, 6912]",17694720,float32,True
layers.4.ffn.norm.weight,ffn,[2560],2560,float32,True
layers.5.mixer.q_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.5.mixer.k_proj.weight,gqa_mixer,"[512, 2560]",1310720,float32,True
layers.5.mixer.v_proj.weight,gqa_mixer,"[512, 2560]",1310720,float32,True
layers.5.mixer.out_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.5.mixer.norm.weight,gqa_mixer,[2560],2560,float32,True
layers.5.ffn.gate_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.5.ffn.up_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.5.ffn.down_proj.weight,ffn,"[2560, 6912]",17694720,float32,True
layers.5.ffn.norm.weight,ffn,[2560],2560,float32,True
layers.6.mixer.conv1d.weight,state_mixer,"[2560, 1, 4]",10240,float32,True
layers.6.mixer.conv1d.bias,state_mixer,[2560],2560,float32,True
layers.6.mixer.in_proj.weight,state_mixer,"[5120, 2560]",13107200,float32,True
layers.6.mixer.out_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.6.mixer.norm.weight,state_mixer,[2560],2560,float32,True
layers.6.ffn.gate_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.6.ffn.up_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.6.ffn.down_proj.weight,ffn,"[2560, 6912]",17694720,float32,True
layers.6.ffn.norm.weight,ffn,[2560],2560,float32,True
layers.7.mixer.conv1d.weight,state_mixer,"[2560, 1, 4]",10240,float32,True
layers.7.mixer.conv1d.bias,state_mixer,[2560],2560,float32,True
layers.7.mixer.in_proj.weight,state_mixer,"[5120, 2560]",13107200,float32,True
layers.7.mixer.out_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.7.mixer.norm.weight,state_mixer,[2560],2560,float32,True
layers.7.ffn.gate_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.7.ffn.up_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.7.ffn.down_proj.weight,ffn,"[2560, 6912]",17694720,float32,True
layers.7.ffn.norm.weight,ffn,[2560],2560,float32,True
layers.8.mixer.q_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.8.mixer.k_proj.weight,gqa_mixer,"[512, 2560]",1310720,float32,True
layers.8.mixer.v_proj.weight,gqa_mixer,"[512, 2560]",1310720,float32,True
layers.8.mixer.out_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.8.mixer.norm.weight,gqa_mixer,[2560],2560,float32,True
