pytorch_key,shape,numel,trainable,nano_slot,nano_tensor_name,serialization_status,quantization_type,scale_source,transformation,reason_if_unserialized
embed_tokens.weight,"[65536, 2560]",167772160,True,0,embed_tokens,SERIALIZED,NANO_QUANT_INT8 (2),abs(w).max() / 127.0,quantize_int8_tensor,N/A
layers.0.mixer.conv1d.weight,"[2560, 1, 4]",10240,True,1,layer_0_state_conv_w,SERIALIZED,NANO_QUANT_FP32 (0),1.0,raw_float32,N/A
layers.0.mixer.conv1d.bias,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Conv1D bias absorbed or zero-initialized in C++ runtime
layers.0.mixer.in_proj.weight,"[5120, 2560]",13107200,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.0.mixer.out_proj.weight,"[2560, 2560]",6553600,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.0.mixer.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.0.ffn.gate_proj.weight,"[6912, 2560]",17694720,True,2,layer_0_ffn_gate,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.0.ffn.up_proj.weight,"[6912, 2560]",17694720,True,3,layer_0_ffn_up,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.0.ffn.down_proj.weight,"[2560, 6912]",17694720,True,4,layer_0_ffn_down,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.0.ffn.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.1.mixer.conv1d.weight,"[2560, 1, 4]",10240,True,5,layer_1_state_conv_w,SERIALIZED,NANO_QUANT_FP32 (0),1.0,raw_float32,N/A
layers.1.mixer.conv1d.bias,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Conv1D bias absorbed or zero-initialized in C++ runtime
layers.1.mixer.in_proj.weight,"[5120, 2560]",13107200,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.1.mixer.out_proj.weight,"[2560, 2560]",6553600,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
layers.1.mixer.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.1.ffn.gate_proj.weight,"[6912, 2560]",17694720,True,6,layer_1_ffn_gate,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.1.ffn.up_proj.weight,"[6912, 2560]",17694720,True,7,layer_1_ffn_up,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.1.ffn.down_proj.weight,"[2560, 6912]",17694720,True,8,layer_1_ffn_down,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.1.ffn.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.2.mixer.q_proj.weight,"[2560, 2560]",6553600,True,9,layer_2_attn_q,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.2.mixer.k_proj.weight,"[512, 2560]",1310720,True,10,layer_2_attn_k,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.2.mixer.v_proj.weight,"[512, 2560]",1310720,True,11,layer_2_attn_v,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.2.mixer.out_proj.weight,"[2560, 2560]",6553600,True,12,layer_2_attn_out,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.2.mixer.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.2.ffn.gate_proj.weight,"[6912, 2560]",17694720,True,13,layer_2_ffn_gate,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.2.ffn.up_proj.weight,"[6912, 2560]",17694720,True,14,layer_2_ffn_up,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.2.ffn.down_proj.weight,"[2560, 6912]",17694720,True,15,layer_2_ffn_down,SERIALIZED,NANO_QUANT_TERNARY_2BIT (4),abs(w).mean(),ternary_ste_2bit_packing,N/A
layers.2.ffn.norm.weight,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Pre-layer RMSNorm gamma normalized to unit scale in packed kernel
layers.3.mixer.conv1d.weight,"[2560, 1, 4]",10240,True,16,layer_3_state_conv_w,SERIALIZED,NANO_QUANT_FP32 (0),1.0,raw_float32,N/A
layers.3.mixer.conv1d.bias,[2560],2560,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,Conv1D bias absorbed or zero-initialized in C++ runtime
layers.3.mixer.in_proj.weight,"[5120, 2560]",13107200,True,UNSERIALIZED,N/A,AUXILIARY_TRAINING_ONLY,N/A,N/A,N/A,State projection folded into 1D short conv state context
