prompt,checkpoint,dim,cosine,max_abs_err,mean_abs_err,rmse,l2_rel_err,first_divergence,status
TEST-A,ckpt01_embed,2560,1.00000000,0.000000,0.000000,0.000000,0.000000,NO,PASS
TEST-A,ckpt02_block_00_input,2560,1.00000000,0.000000,0.000000,0.000000,0.000000,NO,PASS
TEST-A,ckpt02_block_01_input,2560,0.99920902,0.128224,0.033423,0.041623,0.039832,YES,PASS
TEST-A,ckpt02_block_02_input,2560,0.99855838,0.194755,0.046960,0.058886,0.053901,YES,PASS
TEST-A,ckpt02_block_03_input,2560,0.99859793,0.203352,0.048669,0.060700,0.053213,YES,PASS
TEST-A,ckpt02_block_04_input,2560,0.99816438,0.238282,0.058636,0.073240,0.061192,YES,PASS
TEST-A,ckpt02_block_05_input,2560,0.99764918,0.320363,0.070050,0.087468,0.069608,YES,PASS
TEST-A,ckpt02_block_06_input,2560,0.99780353,0.306606,0.070966,0.088296,0.067414,YES,PASS
TEST-A,ckpt02_block_07_input,2560,0.99721851,0.341878,0.084218,0.105036,0.076736,YES,PASS
TEST-A,ckpt02_block_08_input,2560,0.99688477,0.383936,0.093682,0.117393,0.081679,YES,PASS
TEST-A,ckpt02_block_09_input,2560,0.99707110,0.391252,0.094534,0.118441,0.079273,YES,PASS
TEST-A,ckpt02_block_10_input,2560,0.99680395,0.502669,0.104225,0.130465,0.083580,YES,PASS
TEST-A,ckpt02_block_11_input,2560,0.99668420,0.471502,0.111780,0.138935,0.085504,YES,PASS
TEST-A,ckpt02_block_12_input,2560,0.99686036,0.486995,0.112237,0.139881,0.083463,YES,PASS
TEST-A,ckpt02_block_13_input,2560,0.99667791,0.512588,0.120470,0.149997,0.086466,YES,PASS
TEST-A,ckpt02_block_14_input,2560,0.99667577,0.528754,0.125274,0.156472,0.087246,YES,PASS
TEST-A,ckpt02_block_15_input,2560,0.99683362,0.534163,0.125907,0.157212,0.085287,YES,PASS
TEST-A,ckpt02_block_16_input,2560,0.99683200,0.575484,0.131504,0.163603,0.085809,YES,PASS
TEST-A,ckpt02_block_17_input,2560,0.99673010,0.649277,0.137712,0.171956,0.087460,YES,PASS
TEST-A,ckpt02_block_18_input,2560,0.99687411,0.640493,0.138566,0.172781,0.085532,YES,PASS
TEST-A,ckpt02_block_19_input,2560,0.99683938,0.684544,0.142929,0.179133,0.086567,YES,PASS
TEST-A,ckpt02_block_20_input,2560,0.99677107,0.662859,0.148261,0.185825,0.087488,YES,PASS
TEST-A,ckpt02_block_21_input,2560,0.99695254,0.670738,0.149019,0.186354,0.085015,YES,PASS
TEST-A,ckpt02_block_22_input,2560,0.99696887,0.650548,0.152032,0.190335,0.084926,YES,PASS
TEST-A,ckpt02_block_23_input,2560,0.99691121,0.658330,0.156427,0.196371,0.085721,YES,PASS
TEST-A,ckpt03_block_00_state_norm,2560,1.00000000,0.000017,0.000004,0.000005,0.000005,YES,PASS
TEST-A,ckpt03_block_01_state_norm,2560,0.99920902,0.125820,0.031950,0.039774,0.039774,YES,PASS
TEST-A,ckpt03_block_03_state_norm,2560,0.99859793,0.184874,0.042354,0.052954,0.052954,YES,PASS
TEST-A,ckpt03_block_04_state_norm,2560,0.99816438,0.209324,0.048519,0.060591,0.060591,YES,PASS
TEST-A,ckpt03_block_12_state_norm,2560,0.99686036,0.271484,0.063531,0.079242,0.079242,YES,PASS
TEST-A,ckpt04_block_00_state_in_proj,5120,0.99997210,0.012700,0.002723,0.003425,0.007472,YES,PASS
TEST-A,ckpt04_block_01_state_in_proj,5120,0.99925932,0.076218,0.014032,0.017574,0.038482,YES,PASS
TEST-A,ckpt04_block_03_state_in_proj,5120,0.99877750,0.090377,0.018350,0.022953,0.049456,YES,PASS
TEST-A,ckpt04_block_04_state_in_proj,5120,0.99834190,0.100959,0.021297,0.026612,0.057568,YES,PASS
TEST-A,ckpt04_block_12_state_in_proj,5120,0.99716042,0.130286,0.027477,0.034385,0.075311,YES,PASS
TEST-A,ckpt05a_block_00_state_gate,2560,0.99997013,0.011829,0.002712,0.003391,0.007730,YES,PASS
TEST-A,ckpt05a_block_01_state_gate,2560,0.99919934,0.061337,0.014006,0.017542,0.040009,YES,PASS
TEST-A,ckpt05a_block_03_state_gate,2560,0.99870903,0.090377,0.018220,0.022899,0.050820,YES,PASS
TEST-A,ckpt05a_block_04_state_gate,2560,0.99834570,0.095656,0.021080,0.026465,0.057504,YES,PASS
TEST-A,ckpt05a_block_12_state_gate,2560,0.99696621,0.124218,0.027458,0.034373,0.077836,YES,PASS
TEST-A,ckpt05b_block_00_state_value,2560,0.99997375,0.012700,0.002734,0.003460,0.007246,YES,PASS
TEST-A,ckpt05b_block_01_state_value,2560,0.99931066,0.076218,0.014057,0.017605,0.037127,YES,PASS
TEST-A,ckpt05b_block_03_state_value,2560,0.99883852,0.073013,0.018481,0.023007,0.048207,YES,PASS
TEST-A,ckpt05b_block_04_state_value,2560,0.99833819,0.100959,0.021515,0.026757,0.057630,YES,PASS
TEST-A,ckpt05b_block_12_state_value,2560,0.99733213,0.130286,0.027496,0.034396,0.073020,YES,PASS
TEST-A,ckpt06_block_00_state_conv,2560,0.55937042,1.379639,0.275806,0.362356,0.933910,YES,DIVERGED
TEST-A,ckpt06_block_01_state_conv,2560,0.55792737,1.744864,0.275487,0.364033,0.935650,YES,DIVERGED
TEST-A,ckpt06_block_03_state_conv,2560,0.54266801,1.535978,0.277052,0.364335,0.971342,YES,DIVERGED
TEST-A,ckpt06_block_04_state_conv,2560,0.53578026,1.913318,0.284754,0.373860,0.954640,YES,DIVERGED
TEST-A,ckpt06_block_12_state_conv,2560,0.55624033,2.329431,0.276563,0.363881,0.946092,YES,DIVERGED
TEST-A,ckpt07_block_00_state_silu,2560,0.99997131,0.009355,0.001358,0.001835,0.007588,YES,PASS
TEST-A,ckpt07_block_01_state_silu,2560,0.99923347,0.044192,0.007005,0.009410,0.039156,YES,PASS
TEST-A,ckpt07_block_03_state_silu,2560,0.99870031,0.060431,0.009124,0.012446,0.051011,YES,PASS
TEST-A,ckpt07_block_04_state_silu,2560,0.99833735,0.082505,0.010466,0.014281,0.057725,YES,PASS
TEST-A,ckpt07_block_12_state_silu,2560,0.99693729,0.088468,0.013560,0.018381,0.078215,YES,PASS
TEST-A,ckpt08_block_00_state_gated,2560,0.47555556,0.927425,0.050848,0.094129,0.990065,YES,DIVERGED
TEST-A,ckpt08_block_01_state_gated,2560,0.49397196,1.081580,0.050639,0.094449,0.992912,YES,DIVERGED
TEST-A,ckpt08_block_03_state_gated,2560,0.53307918,0.870734,0.052146,0.093375,0.975285,YES,DIVERGED
TEST-A,ckpt08_block_04_state_gated,2560,0.52796508,1.143133,0.053884,0.098025,0.924293,YES,DIVERGED
TEST-A,ckpt08_block_12_state_gated,2560,0.51008282,2.036829,0.050797,0.097910,0.937185,YES,DIVERGED
TEST-A,ckpt09_block_00_state_out_proj,2560,0.50823856,0.130903,0.033176,0.041360,0.948774,YES,DIVERGED
TEST-A,ckpt09_block_01_state_out_proj,2560,0.53207658,0.150283,0.032707,0.041482,0.941017,YES,DIVERGED
TEST-A,ckpt09_block_03_state_out_proj,2560,0.57214372,0.182905,0.032081,0.040476,0.921754,YES,DIVERGED
TEST-A,ckpt09_block_04_state_out_proj,2560,0.55550540,0.160769,0.034951,0.043489,0.889473,YES,DIVERGED
TEST-A,ckpt09_block_12_state_out_proj,2560,0.52442551,0.170877,0.035043,0.043825,0.916231,YES,DIVERGED
TEST-A,ckpt10_block_00_state_residual,2560,0.99917211,0.130903,0.033176,0.041360,0.040738,YES,PASS
TEST-A,ckpt10_block_01_state_residual,2560,0.99845037,0.199399,0.046807,0.058768,0.055817,YES,PASS
TEST-A,ckpt10_block_03_state_residual,2560,0.99801516,0.232777,0.058527,0.073010,0.063536,YES,PASS
TEST-A,ckpt10_block_04_state_residual,2560,0.99746410,0.324142,0.069796,0.087139,0.072194,YES,PASS
TEST-A,ckpt10_block_12_state_residual,2560,0.99647915,0.511052,0.120367,0.149883,0.088778,YES,PASS
TEST-A,ckpt11_block_02_gqa_norm,2560,0.99855838,0.182838,0.042777,0.053696,0.053696,YES,PASS
TEST-A,ckpt11_block_05_gqa_norm,2560,0.99764918,0.229252,0.054944,0.068568,0.068568,YES,PASS
TEST-A,ckpt11_block_23_gqa_norm,2560,0.99691121,0.253546,0.062831,0.078597,0.078597,YES,PASS
TEST-A,ckpt12a_block_02_gqa_q,2560,0.99850534,0.080727,0.019100,0.023947,0.054722,YES,PASS
